condition,cycles
Sorted (Predicted),138180
Sorted (Predicted),138274
Sorted (Predicted),138039
Sorted (Predicted),137898
Sorted (Predicted),137898
Sorted (Predicted),138039
Sorted (Predicted),138086
Sorted (Predicted),138180
Sorted (Predicted),137992
Sorted (Predicted),138086
Sorted (Predicted),138180
Sorted (Predicted),138180
Sorted (Predicted),138086
Sorted (Predicted),138133
Sorted (Predicted),138274
Sorted (Predicted),138086
Sorted (Predicted),138133
Sorted (Predicted),138086
Sorted (Predicted),138133
Sorted (Predicted),138180
Sorted (Predicted),152562
Sorted (Predicted),113176
Sorted (Predicted),92731
Sorted (Predicted),92825
Sorted (Predicted),92684
Sorted (Predicted),93013
Sorted (Predicted),93624
Sorted (Predicted),93295
Sorted (Predicted),92543
Sorted (Predicted),92778
Sorted (Predicted),92872
Sorted (Predicted),92825
Sorted (Predicted),92872
Sorted (Predicted),92919
Sorted (Predicted),93013
Sorted (Predicted),92919
Sorted (Predicted),92919
Sorted (Predicted),93013
Sorted (Predicted),92966
Sorted (Predicted),92919
Sorted (Predicted),92966
Sorted (Predicted),92919
Sorted (Predicted),93060
Sorted (Predicted),93013
Sorted (Predicted),93013
Sorted (Predicted),93107
Sorted (Predicted),92966
Sorted (Predicted),93060
Sorted (Predicted),92919
Sorted (Predicted),93013
Sorted (Predicted),93107
Sorted (Predicted),92919
Sorted (Predicted),92966
Sorted (Predicted),93013
Sorted (Predicted),92966
Sorted (Predicted),92966
Sorted (Predicted),93013
Sorted (Predicted),93107
Sorted (Predicted),93060
Sorted (Predicted),92919
Sorted (Predicted),93060
Sorted (Predicted),92966
Sorted (Predicted),93013
Sorted (Predicted),93107
Sorted (Predicted),93013
Sorted (Predicted),93013
Sorted (Predicted),92966
Sorted (Predicted),93060
Sorted (Predicted),92966
Sorted (Predicted),106408
Sorted (Predicted),92778
Sorted (Predicted),92825
Sorted (Predicted),92778
Sorted (Predicted),92731
Sorted (Predicted),92637
Sorted (Predicted),92590
Sorted (Predicted),92637
Sorted (Predicted),92731
Sorted (Predicted),92825
Sorted (Predicted),92919
Sorted (Predicted),92778
Sorted (Predicted),92872
Sorted (Predicted),92825
Sorted (Predicted),92778
Sorted (Predicted),92825
Sorted (Predicted),92872
Sorted (Predicted),92825
Sorted (Predicted),92919
Sorted (Predicted),92872
Sorted (Predicted),92919
Sorted (Predicted),92872
Sorted (Predicted),92919
Sorted (Predicted),92872
Sorted (Predicted),92872
Sorted (Predicted),92872
Sorted (Predicted),92966
Sorted (Predicted),93013
Sorted (Predicted),92825
Sorted (Predicted),93013
Sorted (Predicted),92919
Unsorted (Mispredicted),1254007
Unsorted (Mispredicted),1249871
Unsorted (Mispredicted),1245782
Unsorted (Mispredicted),1280985
Unsorted (Mispredicted),1239813
Unsorted (Mispredicted),1239437
Unsorted (Mispredicted),1234032
Unsorted (Mispredicted),1235912
Unsorted (Mispredicted),1236805
Unsorted (Mispredicted),1206067
Unsorted (Mispredicted),1217911
Unsorted (Mispredicted),1217676
Unsorted (Mispredicted),1223692
Unsorted (Mispredicted),1209639
Unsorted (Mispredicted),1220825
Unsorted (Mispredicted),1213305
Unsorted (Mispredicted),1214245
Unsorted (Mispredicted),1209968
Unsorted (Mispredicted),1212459
Unsorted (Mispredicted),1260070
Unsorted (Mispredicted),1209122
Unsorted (Mispredicted),1211801
Unsorted (Mispredicted),1220355
Unsorted (Mispredicted),1209451
Unsorted (Mispredicted),1201602
Unsorted (Mispredicted),1209686
Unsorted (Mispredicted),1211378
Unsorted (Mispredicted),1212459
Unsorted (Mispredicted),1201743
Unsorted (Mispredicted),1215138
Unsorted (Mispredicted),1210109
Unsorted (Mispredicted),1208276
Unsorted (Mispredicted),1193659
