size_bytes,cycles_std,cycles_large
4096,3.65576,3.60814
5120,3.59068,3.58557
6400,3.77932,3.60742
8000,3.73863,3.62525
10000,3.65018,3.63204
12500,3.58868,3.6312
15625,3.64134,3.62485
19531,3.77874,3.59764
24413,3.5866,3.58687
30516,3.78828,3.6287
38145,3.62026,3.63386
47681,3.66864,3.63027
59601,12.729,12.671
74501,12.9532,12.6856
93126,12.5728,12.5462
116407,12.7835,12.6613
145508,12.6764,12.659
181885,12.7919,12.6965
227356,12.8485,12.8454
284195,13.0243,12.5508
355243,12.7522,12.7565
444053,13.8871,12.8105
555066,14.1654,12.7426
693832,13.2545,12.8809
867290,12.9779,12.7046
1084112,22.8644,19.6472
1355140,30.8741,30.6676
1693925,36.1711,33.4395
2117406,39.2491,35.6073
2646757,40.4136,39.7441
3308446,44.4922,42.0234
4135557,48.6671,42.2208
5169446,50.8747,46.0505
6461807,51.8865,44.7532
8077258,52.7734,47.8891
10096572,54.2734,48.2848
12620715,54.5043,49.5943
15775893,54.5773,47.6779
19719866,55.2279,50.5284
24649832,58.7334,52.5709
30812290,58.5849,75.0522
38515362,67.4169,317.27
48144202,186.028,268.218
60180252,157.577,256.699
75225315,169.865,310.723
94031643,252.267,319.632
117539553,368.66,346.821
146924441,349.502,342.766
183655551,379.838,331.716
229569438,385.323,351.877
