size_bytes,cycles_per_access
16384,3.58553
20480,3.58493
24576,3.58656
28672,3.58346
32768,3.60799
40960,3.60092
49152,3.6077
61440,12.7193
73728,12.5917
90112,12.5424
110592,12.5823
135168,12.6073
167936,12.5691
208896,12.6162
258048,12.612
319488,12.6462
397312,17.6822
495616,17.8788
618496,12.55
770048,12.5622
962560,13.2699
1200128,13.5239
1499136,14.244
1871872,15.0547
2338816,15.9451
2920448,19.3025
3649536,27.1811
4558848,36.4843
5697536,41.7425
7118848,46.5192
8896512,48.2086
11120640,49.8485
13897728,50.6063
17371136,50.8278
21712896,52.0946
27140096,52.6171
33923072,52.7555
42401792,52.5514
53002240,54.0233
66252800,54.9971
82812928,63.813
103514112,70.2117
129392640,75.7342
161738752,80.5538
202170368,85.6004
252710912,95.3569
315887616,123.242
394858496,203.052
493572096,292.845
616964096,372.356
771203072,432.068
964001792,450.699
1205002240,457.595
1506250752,458.18
1882812416,461.442
2353512448,466.28
2941890560,469.67
3677360128,468.612
